Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,99454,+83,4636 ,None,93628,+26,1190,24,69,3,160000000,111163,1439323776 
USA,50568418,+133385,815752 ,+1417,39880092,+64124,9872574,14647,151494,2444,770247200,2307531,333797157
India,34674744,+8503,474735 ,+624,34097388,+8251,102621,8944,24776,339,653243539,466759,1399531786
Brazil,22177059,+9278,616504 ,+206,21407699,+8383,152856,8318,103277,2871,63776166,297000,214734593
UK,10660971,+50863,146135 ,+148,9378165,+37775,1136671,890,155863,2136,373037852,5453813,68399452
Russia,9925806,+30209,286004 ,+1181,8637861,+35794,1001941,2300,67974,1959,229800000,1573708,146024586
Turkey,8984407,+19696,78602 ,+195,8543785,+27263,362020,1128,104903,918,110866117,1294482,85645129
France,8105785,+56854,120168 ,+136,7252512,+21087,733105,2461,123787,1835,170480237,2603487,65481511
Germany,6404768,+65175,105435 ,+503,5278300,+52600,1021033,4636,76093,1253,85782441,1019160,84169720
Iran,6147872,+3228,130524 ,+78,5950425,+6958,66923,3169,71871,1526,39739512,464573,85539819
Argentina,5350867,+2744,116719 ,+11,5209333,+2422,24815,707,116850,2549,26575189,580337,45792710
Spain,5273178,+13957,88321 ,+50,4941596,+2089,243261,1041,112721,1888,66213858,1415405,46780860
Italy,5164773,+12520,134551 ,+79,4775676,+7098,254546,811,85603,2230,124209339,2058703,60333768
Colombia,5088008,+1627,128969 ,+40,4928885,+1781,30154,342,98484,2496,28506132,551766,51663404
Indonesia,4258560,+220,143918 ,+9,4109364,+296,5278,None,15336,518,57287944,206305,277686164
Mexico,3908534,+3215,295893 ,+292,3264585,+2163,348056,4798,29863,2261,12000517,91689,130882288
Poland,3760045,+27455,87357 ,+562,3211558,+16827,461130,2053,99507,2312,25322586,670142,37786907
Ukraine,3532357,+12376,89901 ,+465,3133970,+24547,308486,177,81475,2074,16199355,373642,43355238
South Africa,3093452,+22388,90060 ,+22,2870329,+2363,133063,546,51229,1491,19988045,331012,60384640
Philippines,2835821,+387,49936 ,+176,2773703,+694,12182,899,25392,447,24522686,219581,111679536
Netherlands,2828655,+19763,19919 ,+77,2204254,+11210,604482,645,164557,1159,19205114,1117260,17189470
Malaysia,2678465,+5446,30787 ,+41,2586822,+5427,60856,419,81258,934,38880624,1179535,32962670
Czechia,2298507,+16185,34188 ,+96,1981319,+643,283000,1072,214062,3184,45172922,4206988,10737592
Peru,2249671,+1224,201527 ,+37,N/A,N/A,N/A,977,66890,5992,20708063,615713,33632647
Thailand,2156587,+4203,21082 ,+49,2075088,+7939,60417,1369,30785,301,14913135,212886,70052200
Iraq,2086702,+510,23943 ,+12,2053418,+762,9341,94,50258,577,16507647,397585,41519809
Belgium,1898498,+18714,27416 ,+56,1403052,+7693,468030,815,162790,2351,25571605,2192682,11662249
Canada,1823010,+4268,29876 ,+24,1761839,+2859,31295,469,47700,782,49711113,1300709,38218474
Romania,1790571,+1032,57459 ,+97,1709702,+1734,23410,754,93979,3016,16317446,856433,19052803
Chile,1778370,+1771,38600 ,+59,1674647,+1740,65123,688,91894,1995,26172828,1352433,19352398
Japan,1728237,+124,18369 ,+2,1709008,+84,860,26,13725,146,28311957,224843,125918735
