Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,100284,+83,4636 ,None,93963,+46,1685,6,70,3,160000000,111163,1439323776 
USA,51916137,+130816,828213 ,+396,40571522,+44550,10516402,15740,155507,2481,788642625,2362266,333850090
India,34746838,+6563,477554 ,+132,34178940,+7469,90344,8944,24821,341,664109365,474397,1399902189
Brazil,22213762,+1419,617838 ,+54,21414318,None,181606,8318,103428,2877,63776166,296943,214775813
UK,11361378,+82883,147217 ,+44,9783355,+41501,1430806,875,166080,2152,387404561,5663050,68409175
Russia,10214790,+27967,297203 ,+1023,8984921,+32655,932666,2300,69952,2035,235100000,1609984,146026290
Turkey,9171119,+16910,80415 ,+171,8785600,+22858,305104,1128,107052,939,114375538,1335072,85669911
France,8625849,+48473,121493 ,+75,7506909,+8194,997447,2933,131722,1855,178020146,2718469,65485446
Germany,6812736,+24190,108963 ,+127,5753300,+29200,950473,4636,80933,1294,87852398,1043662,84177021
Iran,6170979,+1968,131083 ,+50,6004277,+4417,35619,2876,72117,1532,40463565,472875,85569192
Spain,5508663,+26568,88764 ,+28,4978948,+6639,440951,1306,117753,1897,66213858,1415390,46781353
Argentina,5389707,+3254,116903 ,+4,5233769,+3036,39035,797,117669,2552,27035741,590248,45804030
Italy,5389147,+24251,135641 ,+97,4891239,+9403,362267,966,89326,2248,130368736,2160879,60331349
Colombia,5107323,+2038,129458 ,+59,4946899,+1379,30966,342,98829,2505,28957976,560352,51678214
Indonesia,4260544,+164,144002 ,+4,4111619,+155,4923,None,15339,518,60204039,216744,277765142
Poland,3958841,+15977,91485 ,+70,3435983,+23670,431373,2113,104771,2421,26243534,694535,37785779
Mexico,3932545,+2530,297835 ,+268,3285918,+2019,348792,4798,30038,2275,12169306,92953,130919276
Ukraine,3608151,+3602,93105 ,+176,3331865,+6866,183181,177,83237,2148,16492954,380477,43348097
South Africa,3308074,+15465,90348 ,+3,3010513,+18224,207213,546,54765,1496,20985692,347416,60405069
