Region,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCases,CasesPerM,DeathsPerM,TotalTests,TestsPerM,Population
China,101683,+197,4636 ,None,94632,+57,2415,14,71,3,160000000,111163,1439323776 
USA,54680794,+475831,844383 ,+1791,41408291,+83181,12428120,17182,163763,2529,809008481,2422885,333903023
India,34822040,+13154,480860 ,+268,34251292,+7347,89888,8944,24868,343,675246143,482225,1400272592
Brazil,22263834,+9128,618870 ,+147,21567845,None,77119,8318,103641,2881,63776166,296886,214817033
UK,12558837,+182674,148089 ,+57,10229561,+49663,2181187,842,183558,2164,402809265,5887398,68418899
Russia,10458271,+21119,307022 ,+932,9380223,+42776,771026,2300,71618,2102,239500000,1640096,146027994
France,9534357,+208099,123372 ,+184,7982597,+56564,1428388,3333,145586,1884,188795159,2882836,65489381
Turkey,9402083,+36684,82059 ,+142,9014490,+25638,305534,1128,109716,958,117951480,1376415,85694693
Germany,7101162,+41816,112133 ,+381,6277400,+59600,711629,4636,84353,1332,89622218,1064595,84184322
Iran,6190762,+1905,131527 ,+53,6032615,+1983,26620,2732,72323,1537,41791485,488226,85598564
Spain,6133057,+100760,89331 ,+78,5049396,+7523,994330,1773,131099,1910,66213858,1415375,46781846
Italy,5854540,+98142,137091 ,+136,5042472,+21871,674977,1185,97044,2272,137763229,2283535,60328929
Argentina,5556239,+42032,117111 ,+26,5283910,+6400,155218,977,121275,2556,27790142,606568,45815350
Colombia,5138603,+6326,129866 ,+33,4965217,+2147,43520,342,99406,2512,29479920,570288,51693023
Indonesia,4262351,+194,144081 ,+10,4113742,+270,4528,None,15341,519,62726434,225761,277844119
Poland,4080283,+15572,95706 ,+793,3602702,+6788,381875,1931,107988,2533,27008948,714813,37784650
Mexico,3956372,+4426,298944 ,+125,3304036,+1163,353392,4798,30211,2283,12302660,93945,130956264
Ukraine,3654690,+5454,95412 ,+307,3449880,+12352,109398,177,84324,2201,16724734,385888,43340956
South Africa,3433554,+9020,90935 ,+81,3145543,+11229,197076,546,56823,1505,21141715,349881,60425498
Netherlands,3101261,+15708,20852 ,+49,2600219,+21368,480190,516,180395,1213,21107399,1227779,17191536
Philippines,2839637,+736,51240 ,+27,2777859,None,10538,899,25409,458,25078068,224394,111759244
Malaysia,2750516,+3683,31428 ,+36,2677406,+4322,41682,288,83386,953,40895705,1239815,32985330
Czechia,2463806,+9078,36026 ,+66,2303840,+432,123940,673,229433,3355,46802825,4358343,10738675
Peru,2287494,+4020,202584 ,None,N/A,N/A,N/A,902,67963,6019,21656119,643421,33657752
Thailand,2217287,+2575,21647 ,+17,2162138,+2695,33502,899,31648,309,17270775,246508,70061744
Canada,2102474,+32124,30248 ,+30,1864799,+17889,207427,455,54986,791,52408105,1370629,38236538
Iraq,2093136,+261,24151 ,+5,2064171,+363,4814,77,50353,581,16804603,404256,41569250
Belgium,2062836,+9965,28250 ,+32,1690777,+17293,343809,613,176840,2422,27046045,2318564,11664999
Romania,1805726,+1271,58678 ,+33,1736172,+1457,10876,392,94810,3081,17012298,893230,19045828
Chile,1802891,+1096,39063 ,+4,1722306,+1957,41522,551,93118,2018,27232477,1406538,19361355
Japan,1732369,+362,18389 ,+2,1711630,+200,2350,49,13760,146,29271898,232505,125897671
Vietnam,1694874,+13889,31928 ,+245,1302542,+38260,360404,7273,17181,324,74476728,754982,98647006
Bangladesh,1584518,+495,28063 ,+1,1548416,+372,8039,1349,9480,168,11450148,68506,167140428
Israel,1374453,+3446,8243 ,None,1347558,+1040,18652,89,147379,884,37741674,4046931,9326000 
Portugal,1330158,+26867,18921 ,+12,1175217,+5376,136020,151,131021,1864,25760643,2537428,10152265
Sweden,1314784,+10874,15271 ,None,1189556,+1339,109957,102,128984,1498,14931240,1464800,10193362
Switzerland,1295413,+17222,12277 ,+11,993334,+4709,289802,313,148061,1403,14141939,1616371,8749189
Serbia,1295198,+1804,12665 ,+20,1260458,+1285,22075,91,149135,1458,7189047,827777,8684758
Pakistan,1294379,+348,28918 ,+6,1255396,+192,10065,636,5695,127,23273887,102395,227294120
Austria,1271770,+3251,13689 ,+17,1229447,+3022,28634,353,140014,1507,122921131,13532820,9083187
Hungary,1249694,+3005,39009 ,+115,1097628,+6611,113057,357,129856,4053,9135056,949227,9623683
Greece,1134713,+28828,20636 ,+79,1006345,+4700,107732,620,109667,1994,46279797,4472799,10346942
Jordan,1059515,+2220,12590 ,+34,1011442,+4307,35483,945,102325,1216,13462192,1300136,10354447
Kazakhstan,986946,+393,12997 ,+11,958995,+718,14954,528,51640,680,11575012,605636,19112164
Cuba,965243,+241,8321 ,None,956097,+96,825,11,85297,735,11626920,1027451,11316282
Morocco,959098,+1504,14842 ,+5,938892,+413,5364,103,25532,395,10805226,287648,37564010
Georgia,930544,+2514,13707 ,+61,890733,+2711,26104,None,233939,3446,12833532,3226353,3977721
Slovakia,835548,+4455,16554 ,+68,772286,+6742,46708,483,152930,3030,5073997,928692,5463595
Nepal,827972,+209,11590 ,+2,811518,+253,4864,114,27674,387,4844656,161925,29919101
UAE,757145,+2234,2160 ,None,743340,+775,11645,None,75197,215,110490236,10973435,10068883
Denmark,749486,+22023,3247 ,+16,576044,+8759,170195,77,128718,558,106007737,18205989,5822685
Ireland,747895,+16428,5912 ,+22,558767,+4603,183216,93,148978,1178,9928381,1977697,5020174
Bulgaria,740682,+3449,30819 ,+162,610724,+2276,99139,462,107810,4486,7386068,1075081,6870243
Tunisia,724680,+588,25556 ,+3,695993,+367,3131,70,60373,2129,3342848,278493,12003351
Lebanon,719103,+3153,9087 ,+15,659448,None,50568,186,106066,1340,4795578,707338,6779751
Croatia,703720,+5768,12466 ,+41,668904,+1718,22350,237,173014,3065,3729325,916878,4067418
Belarus,696220,+1493,5543 ,+16,688890,+1699,1787,None,73716,587,10999160,1164588,9444677
Guatemala,626675,+821,16102 ,+3,608237,+134,2336,5,34039,875,3265129,177354,18410257
S. Korea,620938,+5406,5382 ,+36,505470,+5197,110086,1078,12096,105,15804065,307861,51335134
Azerbaijan,615842,+530,8332 ,+8,597754,+1209,9756,None,59932,811,5842565,568580,10275708
Sri Lanka,586183,+1597,14944 ,+21,560085,+210,11154,None,27204,694,5726599,265767,21547423
Bolivia,585624,+4934,19622 ,+46,523779,+1166,42223,220,49167,1647,2633963,221141,11910811
Costa Rica,570556,None,7353 ,None,560709,None,2494,45,110496,1424,2965435,574295,5163612
Saudi Arabia,554665,+744,8874 ,+1,541388,+231,4403,43,15570,249,33049929,927759,35623404
Ecuador,545800,+1697,33669 ,+13,443880,None,68251,759,30250,1866,2136008,118384,18043087
Myanmar,530276,+276,19262 ,+2,507806,+220,3208,None,9649,351,6018475,109517,54954814
Lithuania,515958,+2014,7359 ,+26,483024,+1276,25575,106,193570,2761,6576005,2467089,2665492
Panama,491043,+1348,7425 ,+4,474829,+413,8789,18,111192,1681,4462855,1010569,4416182
Paraguay,466101,+277,16624 ,+8,447870,+87,1607,45,64171,2289,2027738,279172,7263394
Slovenia,460448,+1876,5576 ,+10,438314,+1520,16558,189,221437,2682,2066930,994020,2079365
Venezuela,444186,+203,5321 ,+2,433208,+445,5657,681,15687,188,3359014,118628,28315498
Palestine,439231,+291,4656 ,+6,430835,+347,3740,55,83214,882,2841644,538359,5278346
Dominican Republic,416270,+911,4246 ,+8,407783,+77,4241,82,37807,386,2568096,233242,11010415
Kuwait,416077,+399,2468 ,None,411504,+62,2105,4,95324,565,5921186,1356552,4364880
Ethiopia,410445,+4700,6916 ,+5,354174,+387,49355,247,3443,58,4084823,34265,119211573
Uruguay,410311,+1417,6168 ,+1,398220,+313,5923,23,117510,1766,4379860,1254355,3491722
Mongolia,388973,+218,2057 ,+1,313256,None,73660,192,115865,613,4030048,1200451,3357112
Libya,387543,+665,5685 ,+9,375131,+464,6727,130,55278,811,2021127,288286,7010830
Norway,387196,+4407,1305 ,+47,88952,None,296939,124,70597,238,9267576,1689752,5484576
Egypt,383857,+854,21695 ,+28,319225,+769,42937,90,3648,206,3693367,35103,105215381
Honduras,379402,+126,10434 ,+2,124018,+235,244950,87,37417,1029,1139978,112426,10139810
Moldova,375358,+293,9667 ,+22,361724,+399,3967,146,93374,2405,2334414,580708,4019948
Armenia,344737,+88,7966 ,+5,331152,+125,5619,None,116014,2681,2553654,859376,2971521
Australia,341437,+18159,2210 ,+8,245297,+5515,93930,129,13162,85,54386592,2096484,25941805
Oman,305357,+104,4116 ,+2,300355,+14,886,4,57611,777,25000000,4716667,5300353
